epoch:  val_acc test_acc 
0: 13.336120401337793 8.349561830574489
0: 46.73913043478261 48.734177215189874
1: 51.630434782608695 56.65774099318403
2: 64.29765886287625 65.10467380720546
3: 71.61371237458194 76.15628042843232
4: 67.47491638795987 72.71178188899708
5: 69.77424749163879 71.87195715676728
6: 67.64214046822742 69.76630963972737
7: 72.28260869565217 76.27799415774099
8: 74.28929765886288 80.16066212268744
9: 70.06688963210702 76.01022395326193
10: 69.69063545150502 73.5029211295034
11: 69.43979933110369 72.16407010710809
12: 59.908026755852845 75.18257059396299
13: 50.7943143812709 66.06621226874391
14: 77.96822742474916 84.43281402142162
15: 69.85785953177258 79.99026290165531
16: 78.6371237458194 90.21421616358325
17: 77.46655518394648 89.09444985394353
18: 76.54682274247492 87.134858812074
19: 78.26086956521739 87.70691333982474
20: 78.46989966555184 89.15530671859786
21: 78.46989966555184 89.70301850048685
22: 78.67892976588628 90.11684518013632
23: 78.17725752508362 89.73953261927946
24: 78.6371237458194 91.61392405063292
25: 78.46989966555184 90.59152872444011
26: 78.67892976588628 91.28529698149951
27: 78.38628762541806 91.37049659201558
28: 78.6371237458194 90.16553067185978
29: 78.84615384615384 91.20009737098344
30: 78.51170568561874 90.74975657254139
31: 78.46989966555184 91.24878286270692
32: 78.80434782608695 90.38461538461539
33: 78.80434782608695 90.21421616358325
34: 78.84615384615384 91.43135345666991
35: 78.46989966555184 90.84712755598832
36: 78.51170568561874 90.57935735150924
37: 78.46989966555184 91.85735150925025
38: 78.6371237458194 90.60370009737099
39: 78.38628762541806 90.31158714703018
40: 78.38628762541806 89.16747809152872
41: 78.51170568561874 91.7234664070107
42: 78.67892976588628 91.61392405063292
43: 78.46989966555184 91.78432327166504
44: 78.67892976588628 92.18597857838364
45: 78.51170568561874 90.84712755598832
46: 78.42809364548495 91.99123661148978
47: 78.67892976588628 92.39289191820838
48: 78.67892976588628 91.34615384615384
49: 78.6371237458194 91.60175267770204

=== Summary ===
Best Val Epoch: 29
Test Acc at Best Val: 91.2001 %
Best Test Acc: 92.3929 %
Mean Test Acc of Last 5 Epochs: 91.6358 %
