epoch:  val_acc test_acc 
0: 10.59576169532187 17.061281337047355
0: 43.13274690123951 59.24791086350975
1: 44.67213114754098 60.34818941504178
2: 44.22231107556977 61.75487465181058
3: 45.31187524990004 78.25905292479109
4: 45.29188324670132 55.75208913649025
5: 46.46141543382647 68.99721448467966
6: 46.26149540183926 77.6740947075209
7: 45.89164334266294 71.12813370473538
8: 47.4610155937625 74.55431754874652
9: 46.50139944022391 73.81615598885794
10: 47.38104758096761 69.44289693593315
11: 47.19112355057977 80.82172701949861
12: 47.64094362255098 79.26183844011142
13: 46.371451419432226 70.5292479108635
14: 47.401039584166334 79.08077994428969
15: 47.401039584166334 74.025069637883
16: 48.15073970411835 82.75766016713092
17: 47.35105957616953 71.7966573816156
18: 47.6609356257497 86.3091922005571
19: 47.43102758896441 83.95543175487465
20: 48.70051979208316 83.66295264623956
21: 48.580567772890845 85.75208913649026
22: 48.43062774890044 78.13370473537604
23: 48.490603758496604 81.78272980501393
24: 48.530587764894044 78.983286908078
25: 48.45061975209916 85.18105849582173
26: 49.02039184326269 83.70473537604457
27: 48.48060775689724 82.14484679665738
28: 48.32067173130748 85.1949860724234
29: 48.70051979208316 86.93593314763231
30: 48.080767692922834 84.48467966573816
31: 48.310675729708116 78.80222841225627
32: 48.20071971211515 78.6908077994429
33: 48.20071971211515 79.73537604456824
34: 48.210715713714514 76.88022284122563
35: 48.45061975209916 83.45403899721448
36: 48.630547780887646 81.1142061281337
37: 48.210715713714514 84.63788300835654
38: 48.47061175529788 84.05292479108635
39: 48.56057576969212 80.22284122562674
40: 48.670531787285086 83.14763231197772
41: 48.620551779288284 84.44289693593315
42: 48.630547780887646 83.09192200557104
43: 48.92043182726909 83.14763231197772
44: 48.70051979208316 83.05013927576601
45: 48.57057177129148 81.94986072423399
46: 48.900439824070375 83.42618384401115
47: 48.87045181927229 82.92479108635098
48: 48.50059976009596 84.33147632311977
49: 48.540583766493405 84.025069637883

=== Summary ===
Best Val Epoch: 26
Test Acc at Best Val: 83.7047 %
Best Test Acc: 86.9359 %
Mean Test Acc of Last 5 Epochs: 83.3315 %
