epoch:  val_acc test_acc 
0: 11.095561775289884 17.061281337047355
0: 13.704518192722912 40.50139275766017
1: 13.364654138344662 37.8133704735376
2: 15.303878448620551 47.033426183844014
3: 16.293482606957216 55.40389972144847
4: 15.97361055577769 47.89693593314763
5: 14.8140743702519 45.459610027855156
6: 16.11355457816873 57.99442896935933
7: 16.06357457017193 66.12813370473538
8: 15.913634546181527 53.690807799442894
9: 16.913234706117553 62.646239554317546
10: 16.45341863254698 49.41504178272981
11: 16.36345461815274 51.128133704735376
12: 16.873250699720113 74.24791086350974
13: 17.53298680527789 62.42339832869081
14: 16.573370651739303 51.183844011142064
15: 16.643342662934828 61.33704735376045
16: 16.983206717313074 69.63788300835654
17: 16.083566573370653 66.2116991643454
18: 17.682926829268293 75.6267409470752
19: 17.872850859656136 69.38718662952647
20: 18.622550979608157 87.6740947075209
21: 18.262694922031187 76.51810584958217
22: 18.442622950819672 85.33426183844011
23: 18.36265493802479 82.45125348189416
24: 18.692522990803678 89.3175487465181
25: 18.422630947620952 87.54874651810584
26: 18.402638944422232 81.57381615598885
27: 18.80247900839664 83.81615598885794
28: 18.472610955617753 79.69359331476323
29: 18.882447021191524 91.19777158774373
30: 18.932427029188325 88.48189415041783
31: 18.912435025989605 72.75766016713092
32: 19.09236305477809 90.71030640668523
33: 18.872451019592162 74.88857938718662
34: 19.332267093162734 89.15041782729806
35: 19.462215113954418 92.10306406685237
36: 19.302279088364653 90.26462395543176
37: 19.20231907237105 89.45682451253482
38: 19.52219112355058 93.3008356545961
39: 19.412235105957617 92.40947075208913
40: 19.662135145941622 93.9275766016713
41: 19.722111155537785 94.27576601671309
42: 19.682127149140342 94.56824512534818
43: 19.742103158736505 93.62116991643454
44: 19.732107157137147 93.74651810584959
45: 19.672131147540984 93.70473537604457
46: 19.692123150739704 93.76044568245125
47: 19.662135145941622 92.88300835654596
48: 19.762095161935225 94.23398328690807
49: 19.672131147540984 93.73259052924791

=== Summary ===
Best Val Epoch: 48
Test Acc at Best Val: 94.2340 %
Best Test Acc: 94.5682 %
Mean Test Acc of Last 5 Epochs: 93.6630 %
