epoch:  val_acc test_acc 
0: 11.039719626168225 8.886290558316281
0: 40.42056074766355 48.11458637825197
1: 59.69626168224299 75.67962584039755
2: 67.40654205607477 86.7874890382929
3: 69.91822429906541 88.83367436422098
4: 63.08411214953271 79.45045308389359
5: 57.30140186915888 69.89184448991523
6: 71.26168224299066 91.11370944168372
7: 65.07009345794393 81.46740719087985
8: 72.54672897196262 91.66910260157849
9: 73.30607476635514 92.955276235019
10: 73.07242990654206 93.04296989184449
11: 69.04205607476635 86.87518269511838
12: 70.85280373831776 89.68137971353406
13: 69.91822429906541 87.02133878982754
14: 63.25934579439252 77.37503653902368
15: 73.65654205607477 92.63373282665887
16: 70.61915887850468 88.19058754750073
17: 70.44392523364486 88.10289389067525
18: 75.35046728971963 95.96609178602748
19: 67.99065420560747 84.88745980707395
20: 76.34345794392523 96.8722595732242
21: 76.6355140186916 97.01841566793335
22: 76.16822429906541 97.10610932475885
23: 75.8177570093458 96.90149079216603
24: 76.2266355140187 97.42765273311898
25: 76.16822429906541 97.36919029523531
26: 76.10981308411215 96.90149079216603
27: 76.28504672897196 97.54457760888629
28: 76.69392523364486 97.57380882782812
29: 76.86915887850468 97.86612101724641
30: 76.28504672897196 97.63227126571178
31: 76.57710280373831 97.66150248465361
32: 74.5911214953271 94.38760596316867
33: 76.51869158878505 97.98304589301374
34: 76.69392523364486 97.66150248465361
35: 76.75233644859813 97.89535223618824
36: 76.28504672897196 97.86612101724641
37: 76.2266355140187 97.77842736042093
38: 76.34345794392523 97.77842736042093
39: 76.05140186915888 97.39842151417714
40: 76.16822429906541 98.09997076878106
41: 76.6355140186916 98.3338205203157
42: 76.57710280373831 98.36305173925753
43: 76.57710280373831 98.2461268634902
44: 76.6355140186916 98.56767027185033
45: 76.51869158878505 98.27535808243204
46: 76.34345794392523 98.42151417714119
47: 76.57710280373831 98.21689564454837
48: 76.69392523364486 98.2461268634902
49: 76.6355140186916 98.3338205203157

=== Summary ===
Best Val Epoch: 29
Test Acc at Best Val: 97.8661 %
Best Test Acc: 98.5677 %
Mean Test Acc of Last 5 Epochs: 98.2987 %
